Name:,Shuang Lin
Email:,spl5745@psu.edu
Direct Fetched:,T
Hand Fetched:,T
Comment:,None

id/nickname,Composition,Structure,Processing,Material Comment,Name,Source,Property Parameters,Temperature [K],Value [SI],Uncertainty [SI],Unit [SI],Pointer,DOI
53,NbMoTaW,BCC,MA+SPS,none,Compressive Ductility,EXP,None,298.15,8.0,None,%,T3,10.1016/j.jallcom.2020.158592
54,Ti8Mo23Nb23Ta23W23,BCC,MA+SPS,none,Compressive Ductility,EXP,None,298.15,15.5,None,%,T3,10.1016/j.jallcom.2020.158592
55,Al0.1CrNbVMo,BCC,MA+SPS,none,Compressive Ductility,EXP,None,298.15,6.1,None,%,T3,10.1016/j.jallcom.2020.158592
56,MoNbTaTiV,BCC,Arc-melting,none,Compressive Ductility,EXP,None,298.15,30.0,None,%,T3,10.1016/j.jallcom.2020.158592
57,MoNbTaVW,BCC,Arc-melting,none,Compressive Ductility,EXP,None,298.15,1.7,None,%,T3,10.1016/j.jallcom.2020.158592
58,MoNbTaW,BCC,Arc-melting,none,Compressive Ductility,EXP,None,298.15,2.1,None,%,T3,10.1016/j.jallcom.2020.158592
59,NbTaTiVW,BCC,Arc-melting,none,Compressive Ductility,EXP,None,298.15,20.0,None,%,T3,10.1016/j.jallcom.2020.158592
60,NbTaVW,BCC,Arc-melting,none,Compressive Ductility,EXP,None,298.15,12.0,None,%,T3,10.1016/j.jallcom.2020.158592
61,MoNbTaV,BCC,Arc-melting,none,Compressive Ductility,EXP,None,298.15,21.0,None,%,T3,10.1016/j.jallcom.2020.158592
62,HfMoTaTiZr,BCC,Arc-melting,none,Compressive Ductility,EXP,None,298.15,4.0,None,%,T3,10.1016/j.jallcom.2020.158592
63,HfMoNbTaTiZr,BCC,Arc-melting,none,Compressive Ductility,EXP,None,298.15,12.0,None,%,T3,10.1016/j.jallcom.2020.158592
64,HfMoNbTiZr,BCC,Arc-melting,none,Compressive Ductility,EXP,None,298.15,10.1,None,%,T3,10.1016/j.jallcom.2020.158592
65,AlNbTiV,BCC,Arc-melting,none,Compressive Ductility,EXP,None,298.15,5.0,None,%,T3,10.1016/j.jallcom.2020.158592
66,CrMo0.5NbTa0.5TiZr,BCC,Arc-melting,none,Compressive Ductility,EXP,None,298.15,5.0,None,%,T3,10.1016/j.jallcom.2020.158592
67,Al0.3CoCrCu0.3FeNi,FCC,A,Annealing 2hours,Tensile Ductility,EXP,None,1173.0,24.0,None,%,T1,10.1016/j.matdes.2020.109238
68,Al0.3CoCrCu0.3FeNi,FCC,A,Annealing 6hours,Tensile Ductility,EXP,None,1173.0,29.0,None,%,T1,10.1016/j.matdes.2020.109238
69,Al0.3CoCrCu0.3FeNi,FCC,AC,FSWed,Tensile Ductility,EXP,None,1173.0,24.0,None,%,T1,10.1016/j.matdes.2020.109238
70,Al0.3CoCrCu0.3FeNi,FCC,H,+6hours,Tensile Ductility,EXP,None,1373.0,77.0,None,%,T1,10.1016/j.matdes.2020.109238
71,Al0.3CoCrCu0.3FeNi,FCC,H,+6hours,Tensile Ductility,EXP,None,1373.0,83.0,None,%,T1,10.1016/j.matdes.2020.109238
72,Al0.3CoCrCu0.3FeNi,FCC,None,As-rolled,Tensile Ductility,EXP,None,298.0,3.8,None,%,T1,10.1016/j.matdes.2020.109238
73,Al0.3CoCrCu0.3FeNi,FCC,None,BM,Tensile Ductility,EXP,None,298.0,63.0,None,%,T1,10.1016/j.matdes.2020.109238
74,Al0.3CoCrCu0.3FeNi,FCC,None,SZ material* (transverse direction),Tensile Ductility,EXP,None,298.0,37.0,None,%,T1,10.1016/j.matdes.2020.109238
75,NbTaTi,FCC+BCC,None,none,Tensile Ductility,EXP,None,298.0,35.4,None,%,T2,10.1016/j.jallcom.2020.158003
76,NbTaTi,FCC+BCC,None,none,Tensile Ductility,EXP,None,673.0,16.5,None,%,T2,10.1016/j.jallcom.2020.158003
77,NbTaTi,FCC+BCC,None,none,Tensile Ductility,EXP,None,873.0,17.1,None,%,T2,10.1016/j.jallcom.2020.158003
78,NbTaTi,FCC+BCC,None,none,Tensile Ductility,EXP,None,1073.0,12.2,None,%,T2,10.1016/j.jallcom.2020.158003
79,NbTaTi,FCC+BCC,None,none,Tensile Ductility,EXP,None,1273.0,3.5,None,%,T2,10.1016/j.jallcom.2020.158003
80,NbTaTi,FCC+BCC,None,none,Tensile Ductility,EXP,None,1473.0,2.3,None,%,T2,10.1016/j.jallcom.2020.158003
81,NbTaZr,FCC+BCC,None,none,Tensile Ductility,EXP,None,298.0,16.9,None,%,T2,10.1016/j.jallcom.2020.158003
82,NbTaZr,FCC+BCC,None,none,Tensile Ductility,EXP,None,673.0,9.2,None,%,T2,10.1016/j.jallcom.2020.158003
83,NbTaZr,FCC+BCC,None,none,Tensile Ductility,EXP,None,873.0,12.8,None,%,T2,10.1016/j.jallcom.2020.158003
84,NbTaZr,FCC+BCC,None,none,Tensile Ductility,EXP,None,1073.0,10.1,None,%,T2,10.1016/j.jallcom.2020.158003
85,NbTaZr,FCC+BCC,None,none,Tensile Ductility,EXP,None,1273.0,2.9,None,%,T2,10.1016/j.jallcom.2020.158003
86,NbTaZr,FCC+BCC,None,none,Tensile Ductility,EXP,None,1473.0,1.8,None,%,T2,10.1016/j.jallcom.2020.158003
87,W30Ni28Fe28Co14,BCC+FCC+𝜇,None,none,Tensile Ductility,EXP,None,298.0,20.0,None,%,T2,10.1016/j.matpr.2020.12.462
88,W35Ni26Fe26Co13,BCC+FCC+𝜇,None,none,Tensile Ductility,EXP,None,298.0,20.0,None,%,T2,10.1016/j.matpr.2020.12.462
89,W40Ni24Fe24Co12,BCC+FCC+𝜇,None,none,Tensile Ductility,EXP,None,298.0,18.0,None,%,T2,10.1016/j.matpr.2020.12.462
90,W45Ni22Fe22Co11,BCC+FCC+𝜇,None,none,Tensile Ductility,EXP,None,298.0,18.0,None,%,T2,10.1016/j.matpr.2020.12.462
91,W50Ni20Fe20Co10,BCC+FCC+𝜇,None,none,Tensile Ductility,EXP,None,298.0,18.0,None,%,T2,10.1016/j.matpr.2020.12.462
92,CoCrFeMnNi,FCC,None,Laser 3D print,Tensile Ductility,EXP,None,298.0,57.0,None,%,T2,10.1016/j.jallcom.2021.159521
93,CrMnFeCoNi,FCC,None,LMD,Tensile Ductility,EXP,None,298.0,55.0,None,%,T2,10.1016/j.jallcom.2021.159521
94,Al0.2CoCrFeNi,FCC,None,LMD,Tensile Ductility,EXP,None,298.0,45.0,None,%,T2,10.1016/j.jallcom.2021.159521
95,Al0.7CoCrFeNi,FCC+BCC,None,LMD,Tensile Ductility,EXP,None,298.0,11.0,None,%,T2,10.1016/j.jallcom.2021.159521
96,Al0.25FeMnNiCrCu0.5,FCC+BCC,None,LMD,Tensile Ductility,EXP,None,298.0,24.5,None,%,T2,10.1016/j.jallcom.2021.159521
97,AlCrCuFeNi3,FCC+BCC,None,SLM,Tensile Ductility,EXP,None,298.0,14.3,None,%,T2,10.1016/j.jallcom.2021.159521
98,AlCoCrFeNi3,FCC+BCC,AC,none,Tensile Ductility,EXP,None,298.0,14.0,None,%,T2,10.1016/j.jallcom.2021.159521
99,AlCo2CrFeNi2,FCC+BCC,AC,none,Tensile Ductility,EXP,None,298.0,14.8,None,%,T2,10.1016/j.jallcom.2021.159521
100,Fe20Co20Ni41Al19,FCC+BCC,AC,none,Tensile Ductility,EXP,None,298.0,18.7,None,%,T2,10.1016/j.jallcom.2021.159521
101,Li,BCC,None,none,Tensile Ductility,EXP,None,293.0,60.0,None,%,P415,10.1007/978-1-4684-6066-7
102,Be,HCP,HIP,none,Tensile Ductility,EXP,None,293.0,15.0,None,%,P415,10.1007/978-1-4684-6066-7
103,Be,HCP,HIP,In vacuum,Tensile Ductility,EXP,None,293.0,2.3,None,%,P415,10.1007/978-1-4684-6066-7
104,Be,HCP,AC,none,Tensile Ductility,EXP,None,293.0,8.4,None,%,P415,10.1007/978-1-4684-6066-7
105,Be,HCP,A,none,Tensile Ductility,EXP,None,613.0,3.55,None,%,P415,10.1007/978-1-4684-6066-7
106,Be,HCP,None,none,Tensile Ductility,EXP,None,923.0,5.5,None,%,P415,10.1007/978-1-4684-6066-7
107,Be,HCP,None,none,Tensile Ductility,EXP,None,1003.0,8.2,None,%,P415,10.1007/978-1-4684-6066-7
108,Be,HCP,None,none,Tensile Ductility,EXP,None,1088.0,14.95,None,%,P415,10.1007/978-1-4684-6066-7
109,Mg,HCP,None,none,Tensile Ductility,EXP,None,293.0,16.0,None,%,P415,10.1007/978-1-4684-6066-7
110,Al,FCC,A,none,Tensile Ductility,EXP,None,293.0,50.0,None,%,P415,10.1007/978-1-4684-6066-7
111,Al,FCC,CH,none,Tensile Ductility,EXP,None,293.0,5.0,None,%,P415,10.1007/978-1-4684-6066-7
112,Al,FCC,None,none,Tensile Ductility,EXP,None,473.0,12.0,None,%,P415,10.1007/978-1-4684-6066-7
113,Al,FCC,None,none,Tensile Ductility,EXP,None,673.0,62.0,None,%,P415,10.1007/978-1-4684-6066-7
114,Al,FCC,None,none,Tensile Ductility,EXP,None,773.0,58.0,None,%,P415,10.1007/978-1-4684-6066-7
115,Ca,FCC,None,none,Tensile Ductility,EXP,None,293.0,56.5,None,%,P415,10.1007/978-1-4684-6066-7
116,Ca,FCC,None,Sublimed,Tensile Ductility,EXP,None,293.0,6.0,None,%,P415,10.1007/978-1-4684-6066-7
117,Ca,FCC,None,none,Tensile Ductility,EXP,None,373.0,9.0,None,%,P415,10.1007/978-1-4684-6066-7
118,Ca,FCC,None,none,Tensile Ductility,EXP,None,573.0,25.0,None,%,P415,10.1007/978-1-4684-6066-7
119,Ca,FCC,None,none,Tensile Ductility,EXP,None,623.0,18.0,None,%,P415,10.1007/978-1-4684-6066-7
120,Ca,FCC,None,none,Tensile Ductility,EXP,None,723.0,10.0,None,%,P415,10.1007/978-1-4684-6066-7
121,Ca,FCC,None,none,Tensile Ductility,EXP,None,773.0,37.0,None,%,P415,10.1007/978-1-4684-6066-7
122,Ca,FCC,None,none,Tensile Ductility,EXP,None,973.0,47.0,None,%,P415,10.1007/978-1-4684-6066-7
123,Sc,HCP,None,none,Tensile Ductility,EXP,None,293.0,12.7,None,%,P415,10.1007/978-1-4684-6066-7
124,Ti,HCP,A,none,Tensile Ductility,EXP,None,293.0,50.0,None,%,P415,10.1007/978-1-4684-6066-7
125,Ti,HCP,None,none,Tensile Ductility,EXP,None,473.0,38.3,None,%,P415,10.1007/978-1-4684-6066-7
126,Ti,HCP,None,none,Tensile Ductility,EXP,None,673.0,26.7,None,%,P415,10.1007/978-1-4684-6066-7
127,Ti,HCP,None,none,Tensile Ductility,EXP,None,873.0,35.0,None,%,P415,10.1007/978-1-4684-6066-7
128,Ti,HCP,None,none,Tensile Ductility,EXP,None,1073.0,61.6,None,%,P416,10.1007/978-1-4684-6066-7
129,Ti,HCP,A,none,Tensile Ductility,EXP,None,1273.0,73.0,None,%,P416,10.1007/978-1-4684-6066-7
130,Ti,HCP,HIP,none,Tensile Ductility,EXP,None,217.0,14.0,None,%,P416,10.1007/978-1-4684-6066-7
131,Ti,HCP,None,none,Tensile Ductility,EXP,None,293.0,18.0,None,%,P416,10.1007/978-1-4684-6066-7
132,Ti,HCP,None,none,Tensile Ductility,EXP,None,477.0,21.0,None,%,P416,10.1007/978-1-4684-6066-7
133,Ti,HCP,None,none,Tensile Ductility,EXP,None,699.0,15.0,None,%,P416,10.1007/978-1-4684-6066-7
134,Ti,HCP,None,none,Tensile Ductility,EXP,None,810.0,23.0,None,%,P416,10.1007/978-1-4684-6066-7
135,V,BCC,A,none,Tensile Ductility,EXP,None,78.0,3.4,None,%,P416,10.1007/978-1-4684-6066-7
136,V,BCC,A,none,Tensile Ductility,EXP,None,175.0,12.6,None,%,P416,10.1007/978-1-4684-6066-7
137,V,BCC,A,none,Tensile Ductility,EXP,None,175.0,5.1,None,%,P416,10.1007/978-1-4684-6066-7
138,V,BCC,A,none,Tensile Ductility,EXP,None,300.0,14.2,None,%,P416,10.1007/978-1-4684-6066-7
139,V,BCC,A,none,Tensile Ductility,EXP,None,300.0,11.2,None,%,P416,10.1007/978-1-4684-6066-7
140,V,BCC,A,none,Tensile Ductility,EXP,None,700.0,12.6,None,%,P416,10.1007/978-1-4684-6066-7
141,V,BCC,A,none,Tensile Ductility,EXP,None,700.0,9.7,None,%,P416,10.1007/978-1-4684-6066-7
142,V,BCC,A,none,Tensile Ductility,EXP,None,1100.0,17.9,None,%,P416,10.1007/978-1-4684-6066-7
143,V,BCC,A,none,Tensile Ductility,EXP,None,1100.0,13.3,None,%,P416,10.1007/978-1-4684-6066-7
144,V,BCC,A,none,Tensile Ductility,EXP,None,1500.0,48.1,None,%,P416,10.1007/978-1-4684-6066-7
145,V,BCC,A,none,Tensile Ductility,EXP,None,1500.0,27.6,None,%,P416,10.1007/978-1-4684-6066-7
146,Fe,BCC,None,Armco,Tensile Ductility,EXP,None,293.0,19.0,None,%,P416,10.1007/978-1-4684-6066-7
147,Fe,BCC,None,none,Tensile Ductility,EXP,None,373.0,23.0,None,%,P416,10.1007/978-1-4684-6066-7
148,Fe,BCC,None,none,Tensile Ductility,EXP,None,573.0,40.0,None,%,P416,10.1007/978-1-4684-6066-7
149,Fe,BCC,None,none,Tensile Ductility,EXP,None,673.0,33.0,None,%,P416,10.1007/978-1-4684-6066-7
150,Fe,BCC,None,none,Tensile Ductility,EXP,None,773.0,36.0,None,%,P416,10.1007/978-1-4684-6066-7
151,Fe,BCC,None,none,Tensile Ductility,EXP,None,1073.0,27.0,None,%,P416,10.1007/978-1-4684-6066-7
152,Fe,BCC,None,none,Tensile Ductility,EXP,None,1173.0,75.0,None,%,P416,10.1007/978-1-4684-6066-7
153,Fe,BCC,None,none,Tensile Ductility,EXP,None,1375.0,65.0,None,%,P416,10.1007/978-1-4684-6066-7
154,Co,HCP,AC,none,Tensile Ductility,EXP,None,293.0,2.5,None,%,P416,10.1007/978-1-4684-6066-7
155,Co,HCP,None,none,Tensile Ductility,EXP,None,573.0,2.5,None,%,P416,10.1007/978-1-4684-6066-7
156,Co,HCP,None,none,Tensile Ductility,EXP,None,673.0,4.6,None,%,P416,10.1007/978-1-4684-6066-7
157,Co,HCP,None,none,Tensile Ductility,EXP,None,773.0,3.4,None,%,P416,10.1007/978-1-4684-6066-7
158,Co,HCP,None,none,Tensile Ductility,EXP,None,873.0,4.0,None,%,P416,10.1007/978-1-4684-6066-7
159,Co,HCP,None,none,Tensile Ductility,EXP,None,973.0,2.7,None,%,P416,10.1007/978-1-4684-6066-7
160,Co,HCP,None,none,Tensile Ductility,EXP,None,1073.0,5.3,None,%,P416,10.1007/978-1-4684-6066-7
161,Ni,FCC,None,none,Tensile Ductility,EXP,None,293.0,30.0,None,%,P416,10.1007/978-1-4684-6066-7
162,Cu,FCC,None,none,Tensile Ductility,EXP,None,293.0,49.0,None,%,P416,10.1007/978-1-4684-6066-7
163,Cu,FCC,None,none,Tensile Ductility,EXP,None,573.0,46.0,None,%,P416,10.1007/978-1-4684-6066-7
164,Cu,FCC,None,none,Tensile Ductility,EXP,None,673.0,42.0,None,%,P416,10.1007/978-1-4684-6066-7
165,Cu,FCC,None,none,Tensile Ductility,EXP,None,873.0,34.0,None,%,P416,10.1007/978-1-4684-6066-7
166,Cu,FCC,None,none,Tensile Ductility,EXP,None,973.0,32.0,None,%,P416,10.1007/978-1-4684-6066-7
167,Zn,HCP,None,none,Tensile Ductility,EXP,None,1073.0,25.0,None,%,P416,10.1007/978-1-4684-6066-7
168,Ga,None,None,none,Tensile Ductility,EXP,None,293.0,21.0,None,%,P416,10.1007/978-1-4684-6066-7
169,Ga,None,None,none,Tensile Ductility,EXP,None,293.0,21.0,None,%,P416,10.1007/978-1-4684-6066-7
170,Sr,FCC,AC,none,Tensile Ductility,EXP,None,293.0,2.0,None,%,P416,10.1007/978-1-4684-6066-7
171,Sr,FCC,None,none,Tensile Ductility,EXP,None,473.0,8.0,None,%,P416,10.1007/978-1-4684-6066-7
172,Sr,FCC,None,none,Tensile Ductility,EXP,None,573.0,10.0,None,%,P416,10.1007/978-1-4684-6066-7
173,Sr,FCC,None,none,Tensile Ductility,EXP,None,673.0,18.0,None,%,P416,10.1007/978-1-4684-6066-7
174,Sr,FCC,None,none,Tensile Ductility,EXP,None,723.0,20.0,None,%,P416,10.1007/978-1-4684-6066-7
175,Sr,FCC,None,none,Tensile Ductility,EXP,None,823.0,8.0,None,%,P416,10.1007/978-1-4684-6066-7
176,Sr,FCC,None,none,Tensile Ductility,EXP,None,873.0,32.0,None,%,P416,10.1007/978-1-4684-6066-7
177,Sr,FCC,None,none,Tensile Ductility,EXP,None,973.0,42.0,None,%,P416,10.1007/978-1-4684-6066-7
178,Y,HCP,AC,none,Tensile Ductility,EXP,None,293.0,10.0,None,%,P416,10.1007/978-1-4684-6066-7
179,Y,HCP,AC,none,Tensile Ductility,EXP,None,873.0,16.0,None,%,P416,10.1007/978-1-4684-6066-7
180,Y,HCP,AC,none,Tensile Ductility,EXP,None,1273.0,27.0,None,%,P416,10.1007/978-1-4684-6066-7
181,Zr,HCP,A,none,Tensile Ductility,EXP,None,293.0,15.0,None,%,P416,10.1007/978-1-4684-6066-7
182,Zr,HCP,None,none,Tensile Ductility,EXP,None,1173.0,40.0,None,%,P416,10.1007/978-1-4684-6066-7
183,Zr,HCP,E,Iodide,Tensile Ductility,EXP,None,293.0,23.7,None,%,P416,10.1007/978-1-4684-6066-7
184,Zr,HCP,None,none,Tensile Ductility,EXP,None,523.0,32.7,None,%,P416,10.1007/978-1-4684-6066-7
185,Zr,HCP,None,none,Tensile Ductility,EXP,None,773.0,39.7,None,%,P417,10.1007/978-1-4684-6066-7
186,Zr,HCP,None,none,Tensile Ductility,EXP,None,1023.0,99.6,None,%,P417,10.1007/978-1-4684-6066-7
187,Nb,BCC,A,none,Tensile Ductility,EXP,None,293.0,49.0,None,%,P417,10.1007/978-1-4684-6066-7
188,Nb,BCC,A,none,Tensile Ductility,EXP,None,473.0,48.0,None,%,P417,10.1007/978-1-4684-6066-7
189,Nb,BCC,A,none,Tensile Ductility,EXP,None,673.0,28.0,None,%,P417,10.1007/978-1-4684-6066-7
190,Nb,BCC,A,none,Tensile Ductility,EXP,None,773.0,35.0,None,%,P417,10.1007/978-1-4684-6066-7
191,Nb,BCC,A,none,Tensile Ductility,EXP,None,823.0,24.0,None,%,P417,10.1007/978-1-4684-6066-7
192,Mo,BCC,A,fused+Hot-rolled,Tensile Ductility,EXP,None,299.0,46.0,None,%,P417,10.1007/978-1-4684-6066-7
193,Mo,BCC,A,fused+Hot-rolled,Tensile Ductility,EXP,None,1143.0,46.0,None,%,P417,10.1007/978-1-4684-6066-7
194,Mo,BCC,A,fused+Hot-rolled,Tensile Ductility,EXP,None,1253.0,49.0,None,%,P417,10.1007/978-1-4684-6066-7
